ID,Section,Requirement Statement,Type,Priority,Verification Methods (from SRS),Primary Method (select),Acceptance Criteria,Agent Procedure (step-by-step),Evidence to Collect,Owner/Role,Phase/Gate,Status,Date Last Updated,Test Case ID / Link,Upstream Trace,Downstream Trace,Notes,Rationale,Risk,Assumptions,Constraints,Version & Change Notes,Verification Detail,Verification Level
OLLAMA-AGENT-001,10.1 Ollama Executor Agent Definition,The ollama-executor custom agent SHALL be defined at ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md and contain a valid name and description in the YAML frontmatter.,Interface,High,"Inspection, Test",Inspection,Agent file exists at ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md with valid YAML frontmatter containing name and description fields.,Open ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md and verify the frontmatter contains name: ollama-executor and a non-empty description.,Agent file content showing YAML frontmatter with name and description fields.,Automation QA (Agent),CI Integration,Completed,2025-12-03,scripts/ollama-executor/Test-SmokeTest.ps1,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1; Run-Locked-*.ps1 scripts,Agent frontmatter defines the custom agent identity for GitHub Copilot.,Provides machine-readable agent identity for integration with GitHub Copilot.,Risk: missing/malformed frontmatter breaks agent activation; mitigated by inspection.,Assumes GitHub custom agents format per https://gh.io/customagents/config.,.agent.md extension required; name SHALL match intended agent identifier.,1 | hash=agent-def-001 | Baseline 2025-12-03,Inspection: verify ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md exists with valid YAML frontmatter.,System
OLLAMA-AGENT-002,10.1 Ollama Executor Agent Definition,The ollama-executor agent SHALL document capabilities for source distribution builds including LabVIEW version and bitness parameters.,Functional/Performance,High,Inspection,Inspection,Agent documentation includes Run-Locked-SourceDistribution.ps1 usage with -LabVIEWVersion and -Bitness parameters.,Review agent markdown for source distribution build section showing complete command syntax with version and bitness options.,Agent markdown excerpt showing source distribution command examples.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/ollama-executor/Run-Locked-SourceDistribution.ps1,Documents agent capability to drive source distribution builds for multiple LabVIEW targets.,Enables users to invoke source distribution builds via the agent.,Risk: incomplete documentation leads to incorrect usage; mitigated by inspection.,Assumes Run-Locked-SourceDistribution.ps1 exists with documented parameters.,Commands SHALL use pwsh -NoProfile -File scripts/... pattern.,1 | hash=agent-sd-002 | Baseline 2025-12-03,Inspection: verify agent documents Run-Locked-SourceDistribution.ps1 with version/bitness params.,System
OLLAMA-AGENT-003,10.1 Ollama Executor Agent Definition,The ollama-executor agent SHALL document capabilities for package builds via the locked executor.,Functional/Performance,High,Inspection,Inspection,Agent documentation includes Run-Locked-PackageBuild.ps1 usage with complete command syntax.,Review agent markdown for package build section showing complete command syntax.,Agent markdown excerpt showing package build command examples.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/ollama-executor/Run-Locked-PackageBuild.ps1,Documents agent capability to drive VI Package builds.,Enables users to invoke package builds via the agent.,Risk: incomplete documentation leads to incorrect usage; mitigated by inspection.,Assumes Run-Locked-PackageBuild.ps1 exists with documented parameters.,Commands SHALL use pwsh -NoProfile -File scripts/... pattern.,1 | hash=agent-pkg-003 | Baseline 2025-12-03,Inspection: verify agent documents Run-Locked-PackageBuild.ps1 with endpoint/model params.,System
OLLAMA-AGENT-004,10.1 Ollama Executor Agent Definition,The ollama-executor agent SHALL document capabilities for the local SD to PPL pipeline orchestration.,Functional/Performance,High,Inspection,Inspection,Agent documentation includes Run-Locked-LocalSdPpl.ps1 usage with complete command syntax.,Review agent markdown for local SD-PPL section showing complete command syntax.,Agent markdown excerpt showing local SD-PPL command examples.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/ollama-executor/Run-Locked-LocalSdPpl.ps1,Documents agent capability to orchestrate SD to PPL pipeline.,Enables users to invoke the full SD-PPL flow via the agent.,Risk: incomplete documentation leads to incorrect usage; mitigated by inspection.,Assumes Run-Locked-LocalSdPpl.ps1 exists with documented parameters.,Commands SHALL use pwsh -NoProfile -File scripts/... pattern.,1 | hash=agent-ppl-004 | Baseline 2025-12-03,Inspection: verify agent documents Run-Locked-LocalSdPpl.ps1 with timeout params.,System
OLLAMA-AGENT-005,10.1 Ollama Executor Agent Definition,The ollama-executor agent SHALL document capabilities for driving the full Ollama host orchestration workflow.,Functional/Performance,High,Inspection,Inspection,Agent documentation includes Run-Ollama-Host.ps1 usage with runKey and lock TTL parameters.,Review agent markdown for host orchestration section showing complete command syntax.,Agent markdown excerpt showing host orchestration command examples.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/orchestration/Run-Ollama-Host.ps1,Documents agent capability to drive host orchestration workflow.,Enables users to invoke host orchestration via the agent.,Risk: incomplete documentation leads to incorrect usage; mitigated by inspection.,Assumes Run-Ollama-Host.ps1 exists with documented parameters.,Commands SHALL use pwsh -NoProfile -File scripts/... pattern.,1 | hash=agent-host-005 | Baseline 2025-12-03,Inspection: verify agent documents Run-Ollama-Host.ps1 with runKey/TTL params.,System
OLLAMA-AGENT-006,10.1 Ollama Executor Agent Definition,The ollama-executor agent SHALL document smoke test capabilities to validate Ollama connectivity.,Functional/Performance,Medium,Inspection,Inspection,Agent documentation includes smoke test usage with -SmokeOnly switch.,Review agent markdown for smoke test section showing -SmokeOnly switch usage.,Agent markdown excerpt showing smoke test command examples.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/orchestration/Run-Ollama-Host.ps1 -SmokeOnly,Documents agent capability to run connectivity smoke tests.,Enables quick validation of Ollama availability without full builds.,Risk: users attempt full builds without connectivity; mitigated by smoke test documentation.,Assumes Run-Ollama-Host.ps1 supports -SmokeOnly switch.,Smoke tests SHALL complete within 300 seconds timeout.,1 | hash=agent-smoke-006 | Baseline 2025-12-03,Inspection: verify agent documents -SmokeOnly smoke test mode.,System
OLLAMA-AGENT-007,10.1 Ollama Executor Agent Definition,The ollama-executor agent SHALL document test suite capabilities for command vetting and security fuzzing.,Functional/Performance,High,Inspection,Inspection,Agent documentation includes Test-CommandVetting.ps1 and Test-SecurityFuzzing.ps1 usage.,Review agent markdown for testing section showing test script commands.,Agent markdown excerpt showing test command examples.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/ollama-executor/Test-*.ps1,Documents agent capability to run security and vetting tests.,Enables users to validate executor security before use.,Risk: untested security changes reach production; mitigated by test documentation.,Assumes test scripts exist and are executable.,Tests SHALL run without Ollama server connection.,1 | hash=agent-test-007 | Baseline 2025-12-03,Inspection: verify agent documents Test-CommandVetting.ps1 and Test-SecurityFuzzing.ps1.,System
OLLAMA-AGENT-008,10.2 Ollama Executor Environment Configuration,The ollama-executor agent SHALL document environment variables for simulation mode including OLLAMA_EXECUTOR_MODE and OLLAMA_SIM_* variables.,Interface,High,Inspection,Inspection,Agent documentation includes all simulation environment variables with descriptions.,Review agent markdown for environment section listing OLLAMA_EXECUTOR_MODE=sim and related variables.,Agent markdown excerpt showing environment variable documentation.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1 simulation mode,Documents simulation mode for CI/testing without LabVIEW.,Enables testing and CI runs without real LabVIEW installation.,Risk: simulation mode used in production accidentally; mitigated by explicit env requirement.,Assumes simulation mode is triggered only by OLLAMA_EXECUTOR_MODE=sim.,Simulation mode SHALL NOT invoke real LabVIEW processes.,1 | hash=agent-env-008 | Baseline 2025-12-03,Inspection: verify agent documents OLLAMA_EXECUTOR_MODE and OLLAMA_SIM_* variables.,System
OLLAMA-AGENT-009,10.2 Ollama Executor Environment Configuration,The ollama-executor agent SHALL document port configuration distinguishing real server (11435) from mock server (11436) usage.,Interface,High,Inspection,Inspection,Agent documentation includes port configuration section explaining 11435 for real server and 11436 for mock/testing.,Review agent markdown for port configuration section.,Agent markdown excerpt showing port configuration documentation.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,MockOllamaServer.ps1; check-ollama-endpoint.ps1,Documents port separation to avoid conflicts between real and mock servers.,Prevents port conflicts during testing and production use.,Risk: port conflicts cause test/production failures; mitigated by clear documentation.,Assumes real Ollama uses 11435; mock uses 11436.,Port numbers SHALL NOT overlap between real and mock servers.,1 | hash=agent-port-009 | Baseline 2025-12-03,Inspection: verify agent documents port 11435 for real and 11436 for mock server.,System
OLLAMA-AGENT-010,10.3 Ollama Executor Security Guardrails,The ollama-executor agent SHALL document security guardrails including allowlist-only command execution.,Quality (non-functional),High,Inspection,Inspection,Agent documentation includes security guardrails section with allowlist enforcement description.,Review agent markdown for security section describing allowlist-only execution.,Agent markdown excerpt showing allowlist documentation.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1 Test-CommandAllowed function,Documents allowlist security model for command execution.,Prevents arbitrary command execution by LLM-driven workflows.,Risk: command injection if allowlist bypassed; mitigated by strict pattern matching.,Assumes allowlist is enforced at runtime by Test-CommandAllowed.,Only pwsh -NoProfile -File scripts/...ps1 patterns allowed.,1 | hash=agent-sec-010 | Baseline 2025-12-03,Inspection: verify agent documents allowlist-only command execution.,System
